number, slope, length, xstart, ystart, xend, yend
1,0.152485,221.531420,23.000000,467.641607,242.000000,501.035771
2,0.171915,318.606328,24.000000,445.995374,338.000000,499.976777
3,0.183813,458.555726,24.000000,414.220830,475.000000,497.120493
4,0.191850,459.224809,24.000000,390.359248,475.000000,476.883377
5,0.186595,458.784225,25.000000,354.745057,476.000000,438.899469
6,0.192988,459.321830,25.000000,325.793906,476.000000,412.831503
7,0.189592,458.016266,26.000000,302.494193,476.000000,387.810661
8,0.173283,457.721032,26.000000,285.511941,477.000000,363.662715
9,0.173910,457.769387,26.000000,251.457420,477.000000,329.890904
10,0.188501,457.925095,27.000000,225.309322,477.000000,310.134982
11,0.189758,459.047991,27.000000,202.293350,478.000000,287.874059
12,0.170655,457.520165,27.000000,175.730830,478.000000,252.696417
13,0.151159,455.111971,28.000000,153.174671,478.000000,221.196039
14,0.157729,456.575648,28.000000,131.297968,479.000000,202.433911
15,0.171514,457.585476,28.000000,111.174469,479.000000,188.527346
16,0.181356,457.340344,29.000000,85.668407,479.000000,167.278395
17,0.171664,457.596903,29.000000,60.921992,480.000000,138.342437
18,0.169680,457.446369,29.000000,42.982125,480.000000,119.507812
19,0.175580,456.883689,30.000000,15.823470,480.000000,94.834264
20,0.166056,439.943004,46.000000,-6.540448,480.000000,65.527900
21,0.160525,284.597423,200.000000,-3.289718,481.000000,41.817856
22,0.156489,167.008114,316.000000,-1.707308,481.000000,24.113426
